BEnh,h,d,R,P0,Nb,a
-26.55613295,1,10,880050,0.023983864,385,4
-26.55613295,1,100,880050,0.023983864,385,2
-26.55593357,1,40,690050,0.010435109,692,2
-26.55552314,1,30,660050,0.008278723,835,2
-26.55542386,1,60,750050,0.014751352,533,2
-26.55152509,1,70,780050,0.016932421,482,2
-26.54938126,1,130,990050,0.031817852,326,2
-26.54879071,1,125,970050,0.030419922,334,2
-26.54663019,1,120,950050,0.029063082,343,2
-26.54617276,1,95,860050,0.022699842,397,2
-26.5444765,1,80,810050,0.019175416,443,2
-26.54281793,1,115,930050,0.02770515,352,2
-26.53726372,1,110,910050,0.026381542,362,2
-26.53470163,1,15,610050,0.004864494,1313,2
-26.53414768,1,90,840050,0.021435817,410,2
-26.532118,1,55,730050,0.013593749,562,2
-26.5312795,1,65,760050,0.015764522,505,2
-26.53042003,1,45,700050,0.011452577,640,2
-26.52987738,1,105,890050,0.025055837,372,2
-26.52753449,1,35,670050,0.009310761,753,2
-26.52730052,1,75,790050,0.017973185,461,2
-26.52646525,1,25,640050,0.007140624,938,2
-26.52055926,1,10,870050,0.023758843,383,4
-26.52055926,1,100,870050,0.023758843,383,2
-26.52046422,1,130,980050,0.031567434,325,2
-26.51995356,1,85,820050,0.020210271,425,2
-26.51882149,1,125,960050,0.030178714,333,2
-26.51555792,1,120,940050,0.028830908,342,2
-26.5138953,1,10,590050,0.003607669,1713,2
-26.51058736,1,115,920050,0.027482027,351,2
-26.50920938,1,95,850050,0.02251225,396,2
-26.50852722,1,60,740050,0.014611455,531,2
-26.50771726,1,70,770050,0.016788317,481,2
-26.50627372,1,50,710050,0.012464102,597,2
-26.50381657,1,110,900050,0.026167328,361,2
-26.50348052,1,80,800050,0.018993753,441,2
-26.50183693,1,40,680050,0.01032898,689,2
-26.49717707,1,30,650050,0.008190873,831,2
-26.4968639,1,20,620050,0.005992491,1084,2
-26.49572096,1,90,830050,0.02125696,409,2
-26.49515161,1,105,880050,0.024850569,371,2
-26.49230016,1,135,990050,0.032743911,317,2
